id,timestamp,pluvial_flood_intensity,fluvial_flood_intensity,group_state,round_number,group_id
170,2024-09-24T09:56:55,0,0,LOGIN,0,72
179,2024-09-24T10:35:41,4,8,SHOW_SUMMARY,1,72
183,2024-09-24T11:11:22,4,5,SHOW_SUMMARY,2,72
188,2024-09-24T11:25:28,5,6,SHOW_SUMMARY,3,72
193,2024-09-24T14:16:59,0,0,LOGIN,0,81
195,2024-09-24T14:23:50,9,5,SHOW_SUMMARY,1,81
200,2024-09-24T14:49:06,10,3,SHOW_SUMMARY,2,81
206,2024-09-24T15:13:44,2,5,SHOW_SUMMARY,3,81
174,2024-09-24T10:23:12,0,0,LOGIN,0,73
177,2024-09-24T10:34:31,7,5,SHOW_SUMMARY,1,73
181,2024-09-24T10:57:14,2,8,SHOW_SUMMARY,2,73
186,2024-09-24T11:14:39,6,5,SHOW_SUMMARY,3,73
171,2024-09-24T10:00:31,0,0,LOGIN,0,74
178,2024-09-24T10:35:26,2,3,SHOW_SUMMARY,1,74
185,2024-09-24T11:12:47,1,6,SHOW_SUMMARY,2,74
189,2024-09-24T11:31:06,3,6,SHOW_SUMMARY,3,74
172,2024-09-24T10:02:16,0,0,LOGIN,0,75
180,2024-09-24T10:35:54,3,7,SHOW_SUMMARY,1,75
184,2024-09-24T11:12:29,7,10,SHOW_SUMMARY,2,75
190,2024-09-24T11:42:34,4,5,SHOW_SUMMARY,3,75
173,2024-09-24T10:02:52,0,0,LOGIN,0,76
176,2024-09-24T10:33:37,9,8,SHOW_SUMMARY,1,76
182,2024-09-24T11:06:37,4,8,SHOW_SUMMARY,2,76
187,2024-09-24T11:24:45,10,10,SHOW_SUMMARY,3,76
175,2024-09-24T10:30:12,0,0,LOGIN,0,77
197,2024-09-24T14:26:14,10,6,SHOW_SUMMARY,1,77
202,2024-09-24T15:01:20,7,6,SHOW_SUMMARY,2,77
207,2024-09-24T15:19:44,6,6,SHOW_SUMMARY,3,77
194,2024-09-24T14:19:24,0,0,LOGIN,0,78
196,2024-09-24T14:24:17,6,6,SHOW_SUMMARY,1,78
201,2024-09-24T14:50:37,9,7,SHOW_SUMMARY,2,78
204,2024-09-24T15:04:18,8,9,SHOW_SUMMARY,3,78
191,2024-09-24T14:04:55,0,0,LOGIN,0,79
199,2024-09-24T14:30:36,4,7,SHOW_SUMMARY,1,79
205,2024-09-24T15:06:16,8,9,SHOW_SUMMARY,2,79
209,2024-09-24T15:27:29,8,6,SHOW_SUMMARY,3,79
192,2024-09-24T14:07:12,0,0,LOGIN,0,80
198,2024-09-24T14:27:32,9,10,SHOW_SUMMARY,1,80
203,2024-09-24T15:02:01,9,8,SHOW_SUMMARY,2,80
208,2024-09-24T15:25:12,9,10,SHOW_SUMMARY,3,80
