id,bought_in_round,measuretype_id,housegroup_id,used_in_round
462,2,124,799,-1
463,2,131,799,-1
515,3,125,799,-1
420,1,125,800,-1
421,1,126,800,-1
422,1,127,800,-1
464,2,124,800,-1
412,1,124,801,-1
429,1,124,803,-1
430,1,130,803,-1
469,2,125,803,-1
470,2,126,803,-1
431,1,126,804,-1
468,2,124,804,-1
517,3,131,804,-1
426,1,124,807,-1
427,1,131,807,-1
425,1,131,808,-1
484,3,131,856,-1
485,3,126,858,-1
486,3,125,859,-1
487,3,131,860,-1
488,3,126,861,-1
489,3,130,861,-1
516,3,131,861,-1
539,1,127,875,-1
540,1,130,875,-1
588,2,125,875,-1
589,2,124,875,-1
590,2,126,875,-1
641,3,131,875,-1
535,1,124,876,-1
580,2,130,876,-1
638,3,125,876,-1
639,3,126,876,-1
640,3,131,876,-1
537,1,130,879,-1
538,1,131,880,-1
536,1,126,881,-1
578,2,125,881,-1
579,2,131,881,-1
635,3,124,881,-1
577,2,130,924,-1
636,3,124,924,-1
637,3,127,924,-1
587,2,124,926,-1
634,3,131,926,-1
605,3,131,955,-1
606,3,126,957,-1
607,3,125,958,-1
608,3,131,959,-1
642,3,124,959,-1
643,3,130,959,-1
609,3,126,960,-1
610,3,130,960,-1
443,2,126,780,-1
495,3,130,780,-1
398,1,131,781,-1
492,3,124,781,-1
404,1,126,782,-1
405,1,130,782,-1
448,2,125,782,-1
449,2,124,782,-1
450,2,127,782,-1
493,3,131,782,-1
401,1,126,783,-1
447,2,125,783,-1
496,3,124,783,-1
400,1,130,785,-1
451,2,127,785,-1
402,1,125,786,-1
403,1,131,786,-1
439,2,130,786,-1
494,3,124,786,-1
397,1,125,787,-1
490,3,124,787,-1
399,1,126,788,-1
491,3,131,788,-1
452,3,131,844,-1
453,3,126,846,-1
454,3,125,847,-1
455,3,131,848,-1
456,3,126,849,-1
457,3,130,849,-1
428,1,130,790,-1
477,2,124,790,-1
432,1,127,792,-1
433,1,130,792,-1
476,2,126,793,-1
434,1,124,794,-1
435,1,127,794,-1
461,2,130,794,-1
423,1,124,795,-1
424,1,130,795,-1
473,2,127,795,-1
524,3,125,795,-1
438,1,125,796,-1
419,1,131,798,-1
474,2,124,839,-1
475,2,130,839,-1
