id,name,round_number,measuretype_id,house_id
220,N02 steel walls,4,125,219
222,N02 water pump,4,126,219
225,N03 Rain Barrel,3,127,220
228,N03 Flood wall,3,125,220
234,N06 sandbags,2,131,223
223,D06 water pump,1,126,230
221,D07 flood wall,3,125,231
236,D07 water resist,4,130,231
218,D08 Green Garden,2,124,232
226,D08 Water proof walls and floors,2,130,232
229,U02 flood wall,2,125,236
219,U03 green garden,1,124,237
230,U03 flood wall,3,125,237
235,U06 sandbags,2,131,240
224,U07 water pump,3,126,241
231,U07 flood wall,4,125,241
233,U07 walls floors,3,130,241
227,U08 Water proof walls and floors,2,130,242
