id,code,user_id,group_id,welfaretype_id
516,t1p1,,72,118
517,t1p2,,72,120
518,t1p3,,72,117
519,t1p4,,72,119
520,t1p5,,72,121
521,t1p6,,72,122
522,t1p7,,72,120
523,t1p8,,72,120
588,t10p1,,81,118
589,t10p2,,81,120
590,t10p3,,81,117
591,t10p4,,81,119
592,t10p5,,81,121
593,t10p6,,81,122
594,t10p7,,81,120
595,t10p8,,81,120
524,t2p1,,73,118
525,t2p2,,73,120
526,t2p3,,73,117
527,t2p4,,73,119
528,t2p5,,73,121
529,t2p6,,73,122
530,t2p7,,73,120
531,t2p8,,73,120
532,t3p1,,74,118
533,t3p2,,74,120
534,t3p3,,74,117
535,t3p4,,74,119
536,t3p5,,74,121
537,t3p6,,74,122
538,t3p7,,74,120
539,t3p8,,74,120
540,t4p1,,75,118
541,t4p2,,75,120
542,t4p3,,75,117
543,t4p4,,75,119
544,t4p5,,75,121
545,t4p6,,75,122
546,t4p7,,75,120
547,t4p8,,75,120
548,t5p1,,76,118
549,t5p2,,76,120
550,t5p3,,76,117
551,t5p4,,76,119
552,t5p5,,76,121
553,t5p6,,76,122
554,t5p7,,76,120
555,t5p8,,76,120
556,t6p1,,77,118
557,t6p2,,77,120
558,t6p3,,77,117
559,t6p4,,77,119
560,t6p5,,77,121
561,t6p6,,77,122
562,t6p7,,77,120
563,t6p8,,77,120
564,t7p1,,78,118
565,t7p2,,78,120
566,t7p3,,78,117
567,t7p4,,78,119
568,t7p5,,78,121
569,t7p6,,78,122
570,t7p7,,78,120
571,t7p8,,78,120
572,t8p1,,79,118
573,t8p2,,79,120
574,t8p3,,79,117
575,t8p4,,79,119
576,t8p5,,79,121
577,t8p6,,79,122
578,t8p7,,79,120
579,t8p8,,79,120
580,t9p1,,80,118
581,t9p2,,80,120
582,t9p3,,80,117
583,t9p4,,80,119
584,t9p5,,80,121
585,t9p6,,80,122
586,t9p7,,80,120
587,t9p8,,80,120
