id,create_time,round_income,living_costs,paid_debt,mortgage_payment,profit_sold_house,spent_savings_for_buying_house,cost_taxes,cost_house_measures_bought,cost_personal_measures_bought,cost_fluvial_damage,cost_pluvial_damage,spendable_income,satisfaction_move_penalty,satisfaction_house_rating_delta,satisfaction_house_measures,satisfaction_personal_measures,satisfaction_fluvial_penalty,satisfaction_pluvial_penalty,satisfaction_debt_penalty,satisfaction_total,preferred_house_rating,maximum_mortgage,mortgage_house_start,mortgage_left_start,house_price_sold,house_price_bought,mortgage_house_end,mortgage_left_end,movingreason_id,moving_reason_other,pluvial_base_protection,fluvial_base_protection,pluvial_community_delta,fluvial_community_delta,pluvial_house_delta,fluvial_house_delta,player_state,player_id,groupround_id,start_housegroup_id,final_housegroup_id,active_transaction_id
610,2024-09-24T10:32:09,65000,30000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,5,4,110000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,516,170,,,
655,2024-09-24T10:32:09,65000,30000,0,11000,0,1000,15000,12000,0,0,0,1000,0,-1,1,0,0,0,0,5,4,110000,0,0,0,111000,110000,99000,,,8,10,0,0,1,0,VIEW_SUMMARY,516,179,,801,
685,2024-09-24T10:32:09,65000,30000,0,11000,0,0,15000,0,0,0,0,-1000,0,0,0,0,0,0,0,5,4,110000,110000,99000,0,0,110000,77000,,,8,10,-2,-1,0,0,VIEW_SUMMARY,516,183,801,801,
719,2024-09-24T10:32:09,65000,30000,1000,11000,0,0,30000,0,0,0,0,-7000,0,0,0,0,0,0,1,4,4,110000,110000,77000,0,0,110000,66000,,,8,10,-2,-1,0,0,VIEW_SUMMARY,516,188,801,801,
611,2024-09-24T10:32:12,100000,50000,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,5,6,170000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,517,170,,,
651,2024-09-24T10:32:12,100000,50000,0,16000,0,0,20000,32000,0,0,0,12000,0,-1,2,0,0,0,0,6,6,170000,0,0,0,160000,160000,144000,,,6,10,0,0,2,1,VIEW_SUMMARY,517,179,,803,
681,2024-09-24T10:32:12,100000,50000,0,16000,0,0,20000,18000,0,0,0,8000,0,0,0,0,0,0,0,6,6,170000,160000,144000,0,0,160000,128000,,,6,10,-2,-1,2,1,VIEW_SUMMARY,517,183,803,803,
724,2024-09-24T10:32:12,100000,50000,0,16000,0,0,20000,16000,0,0,4000,2000,0,0,0,2,0,1,0,7,6,170000,160000,128000,0,0,160000,112000,,,6,10,-2,-1,0,0,VIEW_SUMMARY,517,188,803,803,
612,2024-09-24T10:32:13,50000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,80000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,518,170,,,
653,2024-09-24T10:32:13,50000,20000,0,7000,0,0,20000,3000,0,0,0,0,0,-1,0,0,1,0,0,3,3,80000,0,0,0,70000,70000,63000,,,8,7,0,0,0,1,VIEW_SUMMARY,518,179,,808,
682,2024-09-24T10:32:13,50000,20000,0,7000,0,0,20000,0,0,0,0,3000,0,0,0,0,0,0,0,3,3,80000,70000,63000,0,0,70000,56000,,,8,7,-2,-1,0,0,VIEW_SUMMARY,518,183,808,808,
722,2024-09-24T10:32:13,50000,20000,0,8000,9000,20000,30000,0,0,0,0,-16000,1,0,0,0,0,0,0,2,3,80000,70000,56000,65000,100000,80000,72000,27,,8,10,-2,-1,0,1,VIEW_SUMMARY,518,188,808,856,
616,2024-09-24T10:32:22,80000,40000,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,5,5,130000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,519,170,,,
