id,answer,late_answer,playerround_id,question_id
610,2,0,655,37
611,4,0,655,38
702,3,0,685,37
703,3,0,685,38
781,3,0,719,37
782,3,0,719,38
621,2,0,651,37
622,4,0,651,38
700,3,0,681,37
701,2,0,681,38
771,3,0,724,37
772,3,0,724,38
613,4,0,653,37
614,2,0,653,38
705,5,0,682,37
706,1,0,682,38
779,3,0,722,37
780,3,0,722,38
599,3,0,654,37
600,2,0,654,38
689,4,0,684,37
690,1,0,684,38
769,2,0,723,37
770,2,0,723,38
597,1,0,650,37
598,4,0,650,38
692,1,0,683,37
693,3,0,683,38
775,1,0,721,37
776,4,0,721,38
618,2,0,649,37
619,4,0,649,38
687,3,0,680,37
688,4,0,680,38
773,1,0,720,37
774,4,0,720,38
615,1,0,652,37
616,2,0,652,38
696,3,0,702,37
697,2,0,702,38
777,2,0,725,37
778,2,0,725,38
815,4,0,774,37
816,2,0,774,38
913,3,0,823,37
914,2,0,823,38
997,4,0,871,37
998,2,0,871,38
819,2,0,773,37
820,4,0,773,38
915,4,0,825,37
916,4,0,825,38
989,1,0,870,37
990,5,0,870,38
827,3,0,777,37
828,3,0,777,38
917,4,0,824,37
918,2,0,824,38
991,5,0,869,37
992,1,0,869,38
817,3,0,779,37
818,4,0,779,38
911,4,0,834,37
912,2,0,834,38
1001,3,0,874,37
1002,3,0,874,38
825,2,0,778,37
826,4,0,778,38
923,3,0,835,37
924,4,0,835,38
995,3,0,873,37
996,4,0,873,38
821,1,0,775,37
822,3,0,775,38
919,1,0,821,37
920,3,0,821,38
999,1,0,872,37
1000,4,0,872,38
823,3,0,776,37
824,4,0,776,38
921,3,0,822,37
922,2,0,822,38
993,3,0,868,37
994,2,0,868,38
565,2,0,633,37
566,5,0,633,38
667,4,0,666,37
668,4,0,666,38
719,3,0,704,37
720,5,0,704,38
579,2,0,637,37
580,4,0,637,38
661,3,0,667,37
662,2,0,667,38
717,2,0,705,37
718,4,0,705,38
567,3,0,635,37
568,3,0,635,38
663,3,0,669,37
664,3,0,669,38
707,4,0,707,37
708,2,0,707,38
569,5,0,640,37
570,2,0,640,38
659,4,0,665,37
660,2,0,665,38
709,5,0,703,37
710,2,0,703,38
