id,timestamp,pluvial_flood_intensity,fluvial_flood_intensity,group_state,round_number,group_id
269,2025-09-23T10:26:01,0,0,LOGIN,0,89
271,2025-09-23T10:46:43,5,6,SHOW_SUMMARY,1,89
276,2025-09-23T11:09:28,3,5,SHOW_SUMMARY,2,89
278,2025-09-23T11:18:32,1,7,SHOW_SUMMARY,3,89
282,2025-09-23T11:30:13,1,8,SHOW_SUMMARY,4,89
267,2025-09-23T10:16:25,0,0,LOGIN,0,90
270,2025-09-23T10:45:16,1,8,SHOW_SUMMARY,1,90
274,2025-09-23T11:05:06,10,8,SHOW_SUMMARY,2,90
277,2025-09-23T11:14:41,4,11,SHOW_SUMMARY,3,90
281,2025-09-23T11:24:51,6,7,SHOW_SUMMARY,4,90
268,2025-09-23T10:19:06,0,0,LOGIN,0,91
272,2025-09-23T10:47:55,8,7,SHOW_SUMMARY,1,91
275,2025-09-23T11:07:55,10,6,SHOW_SUMMARY,2,91
279,2025-09-23T11:18:34,1,11,SHOW_SUMMARY,3,91
283,2025-09-23T11:30:48,3,9,SHOW_SUMMARY,4,91
266,2025-09-23T10:01:32,0,0,LOGIN,0,92
273,2025-09-23T10:49:10,1,7,SHOW_SUMMARY,1,92
280,2025-09-23T11:22:02,5,5,SHOW_SUMMARY,2,92
284,2025-09-23T11:36:26,8,8,SHOW_SUMMARY,3,92
285,2025-09-23T11:46:34,4,2,SHOW_SUMMARY,4,92
289,2025-09-23T14:07:12,0,0,LOGIN,0,93
291,2025-09-23T14:26:47,10,10,SHOW_SUMMARY,1,93
297,2025-09-23T14:53:06,8,12,SHOW_SUMMARY,2,93
301,2025-09-23T15:03:52,7,8,SHOW_SUMMARY,3,93
304,2025-09-23T15:10:24,6,7,ROLLED_DICE,4,93
288,2025-09-23T14:05:18,0,0,LOGIN,0,94
292,2025-09-23T14:27,7,8,SHOW_SUMMARY,1,94
294,2025-09-23T14:48:13,6,9,SHOW_SUMMARY,2,94
298,2025-09-23T14:57:22,6,10,SHOW_SUMMARY,3,94
305,2025-09-23T15:10:56,1,8,SHOW_SUMMARY,4,94
286,2025-09-23T12:53:14,0,0,LOGIN,0,95
290,2025-09-23T14:25:31,4,8,SHOW_SUMMARY,1,95
296,2025-09-23T14:51:44,9,3,SHOW_SUMMARY,2,95
299,2025-09-23T14:59:36,3,11,SHOW_SUMMARY,3,95
302,2025-09-23T15:05:08,8,9,SHOW_SUMMARY,4,95
287,2025-09-23T13:51:25,0,0,LOGIN,0,96
293,2025-09-23T14:28:48,8,7,SHOW_SUMMARY,1,96
295,2025-09-23T14:51:44,5,8,SHOW_SUMMARY,2,96
300,2025-09-23T15:00:23,2,8,SHOW_SUMMARY,3,96
303,2025-09-23T15:07:27,2,7,SHOW_SUMMARY,4,96
