id,code,address,rating,original_price,damage_reduction,market_value,last_sold_price,house_satisfaction,status,fluvial_base_protection,pluvial_base_protection,fluvial_house_protection,pluvial_house_protection,last_round_comm_fluvial,last_round_comm_pluvial,last_round_house_fluvial,last_round_house_pluvial,house_id,group_id,owner_id
1295,N01,Stickroad 17,9,425000,0,425000,,0,NOT_AVAILABLE,9,6,0,0,,,,,245,89,
1296,N04,"Twiglane 8
",6,200000,0,200000,200000,2,OCCUPIED,9,6,10,6,,,,,248,89,635
1297,N05,Twiglane 5,6,200000,0,200000,245000,1,OCCUPIED,9,6,10,6,,,,,249,89,640
1298,N07,"Leafstreet 26
",3,100000,0,100000,100000,3,OCCUPIED,9,6,10,7,,,,,251,89,637
1299,D01,"Stonelane 13
",8,300000,0,300000,300000,1,OCCUPIED,9,4,9,5,,1,,1,252,89,638
1300,D02,Stonelane 11,8,300000,0,300000,300000,3,AVAILABLE,9,4,9,5,,1,,,253,89,
1301,D04,"Steelstreet 22
",5,160000,0,160000,,0,NOT_AVAILABLE,9,4,0,0,,1,,1,255,89,
1302,D05,"Steelstreet 20
",5,160000,0,160000,,0,NOT_AVAILABLE,9,4,0,0,,1,,1,256,89,
1303,D09,Brickroad 4,2,80000,0,80000,,0,NOT_AVAILABLE,9,4,0,0,,1,,1,260,89,
1304,D10,"Brickroad 6
",2,80000,0,80000,,0,NOT_AVAILABLE,9,4,0,0,,1,,1,261,89,
1305,U01,"Woolstreet 33
",6,200000,0,200000,,0,NOT_AVAILABLE,6,6,0,0,4,,4,,262,89,
1306,U04,"Grassroad 54
",4,125000,0,125000,,0,NOT_AVAILABLE,6,6,0,0,4,,4,,265,89,
1307,U05,Grassroad 52,4,125000,0,125000,125000,0,OCCUPIED,6,6,0,0,4,,4,,266,89,634
1308,U09,Twiglane 44,2,70000,0,70000,70000,0,OCCUPIED,6,6,7,6,4,,4,,270,89,636
1309,U10,"Twiglane 48
",2,70000,0,70000,,0,NOT_AVAILABLE,6,6,0,0,4,,4,,271,89,
1342,U06,"Grassroad 51

",4,125000,0,125000,,0,NOT_AVAILABLE,6,6,1,0,4,,4,,267,89,
1343,U07,Grassroad 53,4,125000,0,125000,,0,NOT_AVAILABLE,6,6,1,1,4,,4,,268,89,
1356,N02,Twiglane 7,6,200000,0,200000,,0,AVAILABLE,9,6,1,1,,,,,246,89,
1357,N03,"Stickroad 21

",9,425000,0,425000,425000,2,OCCUPIED,9,6,10,7,,,,,247,89,639
1358,N06,Leafstreet 28,3,100000,0,100000,,0,AVAILABLE,9,6,1,0,,,,,250,89,
1359,D03,Stonelane 15,8,300000,0,300000,,0,AVAILABLE,9,4,0,0,,,,,254,89,
1360,D06,Steelstreet 25,5,160000,0,160000,,0,AVAILABLE,9,4,2,2,,,,,257,89,
1361,D07,"Steelstreet 23

",5,160000,0,160000,,0,AVAILABLE,9,4,2,2,,,,,258,89,
1362,D08,"Brickroad 8

",2,80000,0,80000,,0,AVAILABLE,9,4,1,2,,,,,259,89,
1363,U02,Woolstreet 37,6,200000,0,200000,,0,AVAILABLE,6,6,1,1,4,,4,,263,89,
1364,U03,"Woolstreet 35

",6,200000,0,200000,,0,AVAILABLE,6,6,1,2,4,,4,,264,89,
1365,U08,"Twiglane 46

",2,70000,0,70000,,0,AVAILABLE,6,6,1,1,4,,4,,269,89,
1280,N01,Stickroad 17,9,425000,0,425000,,0,NOT_AVAILABLE,9,6,0,0,3,4,3,4,245,90,
1281,N04,"Twiglane 8
",6,200000,0,200000,220000,1,AVAILABLE,9,6,10,7,3,4,3,4,248,90,
1282,N05,Twiglane 5,6,200000,0,200000,200000,3,OCCUPIED,9,6,10,7,3,4,3,4,249,90,646
1283,N07,"Leafstreet 26
",3,100000,0,100000,100000,0,OCCUPIED,9,6,0,0,3,4,3,4,251,90,642
1284,D01,"Stonelane 13
",8,300000,0,300000,400000,3,AVAILABLE,9,4,10,5,3,4,3,4,252,90,
1285,D02,Stonelane 11,8,300000,0,300000,,0,NOT_AVAILABLE,9,4,0,0,3,4,3,4,253,90,
1286,D04,"Steelstreet 22
",5,160000,0,160000,160000,2,OCCUPIED,9,4,9,5,3,4,3,4,255,90,645
1287,D05,"Steelstreet 20
",5,160000,0,160000,,0,NOT_AVAILABLE,9,4,0,0,3,4,3,4,256,90,
1288,D09,Brickroad 4,2,80000,0,80000,80000,1,OCCUPIED,9,4,10,5,3,4,3,4,260,90,644
1289,D10,"Brickroad 6
",2,80000,0,80000,,0,NOT_AVAILABLE,9,4,0,0,3,4,3,4,261,90,
1290,U01,"Woolstreet 33
",6,200000,0,200000,,0,NOT_AVAILABLE,6,6,0,0,4,4,4,4,262,90,
1291,U04,"Grassroad 54
",4,125000,0,125000,,0,NOT_AVAILABLE,6,6,0,0,4,4,4,4,265,90,
1292,U05,Grassroad 52,4,125000,0,125000,,0,NOT_AVAILABLE,6,6,0,0,4,4,4,4,266,90,
1293,U09,Twiglane 44,2,70000,0,70000,,0,NOT_AVAILABLE,6,6,0,0,4,4,4,4,270,90,
1294,U10,"Twiglane 48
",2,70000,0,70000,,0,NOT_AVAILABLE,6,6,0,0,4,4,4,4,271,90,
1340,U06,"Grassroad 51

",4,125000,0,125000,,0,NOT_AVAILABLE,6,6,1,0,4,4,4,4,267,90,
1341,U07,Grassroad 53,4,125000,0,125000,,0,NOT_AVAILABLE,6,6,1,1,4,4,4,4,268,90,
1346,N02,Twiglane 7,6,200000,0,200000,,0,AVAILABLE,9,6,1,1,,4,,4,246,90,
1347,N03,"Stickroad 21

",9,425000,0,425000,425000,2,OCCUPIED,9,6,10,7,,4,,,247,90,647
1348,N06,Leafstreet 28,3,100000,0,100000,,0,AVAILABLE,9,6,1,0,,4,,4,250,90,
1349,D03,Stonelane 15,8,300000,0,300000,300000,0,OCCUPIED,9,4,0,0,,4,,4,254,90,643
1350,D06,Steelstreet 25,5,160000,0,160000,,0,AVAILABLE,9,4,2,2,,4,,4,257,90,
1351,D07,"Steelstreet 23

",5,160000,0,160000,,0,AVAILABLE,9,4,2,2,,4,,4,258,90,
1352,D08,"Brickroad 8

",2,80000,0,80000,,0,AVAILABLE,9,4,1,2,,4,,4,259,90,
1353,U02,Woolstreet 37,6,200000,0,200000,,0,AVAILABLE,6,6,1,1,4,4,4,4,263,90,
1354,U03,"Woolstreet 35

",6,200000,0,200000,,0,AVAILABLE,6,6,1,2,4,4,4,,264,90,
1355,U08,"Twiglane 46

",2,70000,0,70000,,0,AVAILABLE,6,6,1,1,4,4,4,4,269,90,
1310,N01,Stickroad 17,9,425000,0,425000,,0,NOT_AVAILABLE,9,6,0,0,4,2,4,2,245,91,
1311,N04,"Twiglane 8
",6,200000,0,200000,200000,2,OCCUPIED,9,6,9,7,4,2,4,2,248,91,651
