id,measuretype_id,playerround_id
180,143,1090
181,146,1090
184,144,1102
185,145,1102
170,143,1050
182,146,1091
169,144,1052
183,143,1094
195,145,1133
196,146,1133
167,144,1053
168,146,1053
186,143,1114
187,145,1114
151,143,1039
152,144,1039
153,143,1042
154,146,1042
155,143,1046
156,144,1046
157,145,1046
158,146,1046
159,144,1047
160,146,1047
171,143,1082
172,145,1082
163,143,1064
164,146,1064
173,144,1087
162,146,1066
161,143,1062
197,143,1139
198,144,1139
199,145,1139
200,146,1139
165,144,1063
166,146,1063
201,143,1136
202,145,1136
176,144,1074
193,143,1117
194,145,1117
204,146,1142
179,146,1072
208,143,1151
177,144,1076
178,146,1076
191,143,1118
192,145,1118
190,144,1116
205,143,1149
206,145,1149
207,146,1149
174,144,1071
175,146,1071
188,143,1119
189,145,1119
203,143,1140
209,145,1146
229,144,1182
234,144,1201
230,143,1188
231,146,1188
228,144,1185
256,143,1221
257,146,1221
271,145,1248
235,145,1181
236,146,1181
255,144,1223
272,143,1245
215,144,1190
216,146,1190
223,146,1193
275,144,1271
213,146,1184
270,143,1227
217,146,1192
243,145,1203
276,143,1274
224,143,1191
225,144,1191
226,145,1191
227,146,1191
219,143,1189
220,144,1189
221,145,1189
222,146,1189
259,145,1233
237,145,1179
238,146,1179
262,144,1238
218,146,1173
251,144,1213
261,143,1235
214,144,1175
247,146,1214
260,143,1236
210,143,1174
211,144,1174
212,146,1174
258,145,1237
239,144,1180
240,146,1180
253,143,1218
254,145,1218
245,144,1216
246,146,1216
263,146,1241
273,143,1259
242,146,1198
248,143,1210
249,144,1210
274,145,1258
241,146,1197
252,144,1211
267,143,1243
268,145,1243
232,144,1195
233,145,1195
250,143,1209
269,146,1242
244,143,1208
264,144,1240
265,145,1240
266,146,1240
