id,code,user_id,group_id,welfaretype_id
634,t1p1,,89,124
635,t1p2,,89,126
636,t1p3,,89,123
637,t1p4,,89,125
638,t1p5,,89,127
639,t1p6,,89,128
640,t1p7,,89,126
641,t1p8,,89,126
642,t2p1,,90,123
643,t2p2,,90,126
644,t2p3,,90,123
645,t2p4,,90,124
646,t2p5,,90,127
647,t2p6,,90,128
648,t2p7,,90,126
649,t2p8,,90,126
650,t3p1,,91,124
651,t3p2,,91,126
652,t3p3,,91,123
653,t3p4,,91,125
654,t3p5,,91,127
655,t3p6,,91,128
656,t3p7,,91,126
657,t3p8,,91,126
658,t4p1,,92,124
659,t4p2,,92,126
660,t4p3,,92,123
661,t4p4,,92,125
662,t4p5,,92,127
663,t4p6,,92,128
664,t4p7,,92,126
665,t4p8,,92,126
666,t5p1,,93,124
667,t5p2,,93,126
668,t5p3,,93,123
669,t5p4,,93,125
670,t5p5,,93,127
671,t5p6,,93,128
672,t5p7,,93,126
673,t5p8,,93,126
674,t6p1,,94,124
675,t6p2,,94,126
676,t6p3,,94,123
677,t6p4,,94,125
678,t6p5,,94,127
679,t6p6,,94,128
680,t6p7,,94,126
681,t6p8,,94,126
682,t7p1,,95,124
683,t7p2,,95,126
684,t7p3,,95,123
685,t7p4,,95,125
686,t7p5,,95,127
687,t7p6,,95,128
688,t7p7,,95,126
689,t7p8,,95,126
690,t8p1,,96,124
691,t8p2,,96,126
692,t8p3,,96,123
693,t8p4,,96,125
694,t8p5,,96,127
695,t8p6,,96,128
696,t8p7,,96,126
697,t8p8,,96,126
