id,answer,late_answer,playerround_id,question_id
1197,4,0,1054,39
1198,2,0,1054,40
1253,4,1,1092,39
1254,2,1,1092,40
1289,5,1,1105,39
1290,1,1,1105,40
1325,5,0,1131,39
1326,1,0,1131,40
1195,3,0,1049,39
1196,4,0,1049,40
1249,3,0,1090,39
1250,4,0,1090,40
1279,3,0,1102,39
1280,2,0,1102,40
1317,3,0,1127,39
1318,4,0,1127,40
1193,5,0,1050,39
1194,4,0,1050,40
1245,3,0,1091,39
1246,4,0,1091,40
1283,4,1,1111,39
1284,2,1,1111,40
1321,4,0,1128,39
1322,2,0,1128,40
1201,2,1,1052,39
1202,4,1,1052,40
1247,1,0,1094,39
1248,4,0,1094,40
1287,1,1,1108,39
1288,4,1,1108,40
1319,1,0,1133,39
1320,5,0,1133,40
1191,3,0,1051,39
1192,4,0,1051,40
1241,3,0,1093,39
1242,4,0,1093,40
1285,4,1,1107,39
1286,4,1,1107,40
1323,4,0,1129,39
1324,4,0,1129,40
1203,3,1,1053,39
1204,3,1,1053,40
1243,3,0,1095,39
1244,3,0,1095,40
1291,3,1,1114,39
1292,4,1,1114,40
1327,3,0,1132,39
1328,4,0,1132,40
1199,5,1,1061,39
1200,4,1,1061,40
1251,5,0,1089,39
1252,4,0,1089,40
1281,1,1,1112,39
1282,5,1,1112,40
1330,3,1,1130,39
1331,3,1,1130,40
1171,1,0,1038,39
1172,4,0,1038,40
1207,3,0,1078,39
1208,4,0,1078,40
1255,4,0,1096,39
1256,4,0,1096,40
1305,4,0,1123,39
1306,3,0,1123,40
1169,1,0,1039,39
1170,5,0,1039,40
1209,1,0,1077,39
1210,4,0,1077,40
1265,3,0,1097,39
1266,4,0,1097,40
1311,1,0,1125,39
1312,2,0,1125,40
1167,4,0,1042,39
1168,4,0,1042,40
1215,3,0,1079,39
1216,3,0,1079,40
1263,3,0,1099,39
1264,2,0,1099,40
1307,5,0,1122,39
1308,1,0,1122,40
1177,3,0,1045,39
1178,4,0,1045,40
1211,4,0,1081,39
1212,4,0,1081,40
1259,4,0,1098,39
1260,4,0,1098,40
1309,4,0,1126,39
1310,3,0,1126,40
1173,1,0,1046,39
1174,4,0,1046,40
1205,1,0,1080,39
1206,4,0,1080,40
1257,1,0,1101,39
1258,4,0,1101,40
1315,1,0,1121,39
1316,5,0,1121,40
1175,3,0,1047,39
1176,3,0,1047,40
1213,1,0,1082,39
1214,3,0,1082,40
1261,2,0,1100,39
1262,2,0,1100,40
1313,2,0,1124,39
1314,2,0,1124,40
1189,4,0,1064,39
1190,2,0,1064,40
1217,4,0,1087,39
1218,3,0,1087,40
1277,4,0,1113,39
1278,4,0,1113,40
1347,5,0,1137,39
1348,1,0,1137,40
1183,2,0,1066,39
1184,4,0,1066,40
1225,3,0,1088,39
1226,4,0,1088,40
1273,3,0,1104,39
1274,4,0,1104,40
1337,4,0,1138,39
1338,2,0,1138,40
1185,3,0,1065,39
1186,4,0,1065,40
1219,3,0,1083,39
1220,3,0,1083,40
1267,4,0,1109,39
1268,2,0,1109,40
1341,4,0,1135,39
1342,3,0,1135,40
1179,3,0,1062,39
1180,2,0,1062,40
1223,3,0,1086,39
1224,2,0,1086,40
1269,4,0,1103,39
1270,1,0,1103,40
1339,5,0,1134,39
1340,1,0,1134,40
1181,4,0,1067,39
1182,2,0,1067,40
1227,4,0,1084,39
1228,3,0,1084,40
1271,1,0,1110,39
1272,5,0,1110,40
1343,2,0,1139,39
1344,5,0,1139,40
1187,3,0,1063,39
1188,4,0,1063,40
1221,2,0,1085,39
1222,4,0,1085,40
1275,4,0,1106,39
1276,1,0,1106,40
1335,3,0,1136,39
1336,4,0,1136,40
1239,3,0,1074,39
1240,2,0,1074,40
1301,3,0,1117,39
1302,2,0,1117,40
1351,4,0,1142,39
1352,2,0,1142,40
1363,3,0,1150,39
1364,4,0,1150,40
1233,5,0,1072,39
1234,2,0,1072,40
1299,4,0,1120,39
1300,2,0,1120,40
1357,5,0,1144,39
1358,1,0,1144,40
1367,5,0,1151,39
1368,1,0,1151,40
1229,3,0,1076,39
1230,4,0,1076,40
1297,3,0,1118,39
1298,4,0,1118,40
1355,3,0,1141,39
1356,2,0,1141,40
1369,3,0,1148,39
1370,2,0,1148,40
1237,2,0,1075,39
1238,4,0,1075,40
1303,2,0,1116,39
1304,5,0,1116,40
1345,3,0,1145,39
1346,4,0,1145,40
1365,1,0,1149,39
1366,2,0,1149,40
1235,2,0,1071,39
1236,4,0,1071,40
1293,2,0,1119,39
1294,4,0,1119,40
1349,4,0,1143,39
1350,2,0,1143,40
1361,3,0,1147,39
1362,4,0,1147,40
1231,3,0,1070,39
1232,4,0,1070,40
1295,3,0,1115,39
1296,4,0,1115,40
1353,3,0,1140,39
1354,4,0,1140,40
1359,4,0,1146,39
1360,2,0,1146,40
1418,4,1,1182,39
1419,2,1,1182,40
1468,4,0,1225,39
1469,2,0,1225,40
1524,4,1,1246,39
1525,1,1,1246,40
1575,4,1,1268,39
1576,1,1,1268,40
1392,3,1,1201,39
1393,4,1,1201,40
1464,2,0,1226,39
1465,4,0,1226,40
1514,2,1,1251,39
1515,4,1,1251,40
1564,3,0,1272,39
1565,3,0,1272,40
1390,4,1,1187,39
1391,3,1,1187,40
1470,5,0,1220,39
1471,1,0,1220,40
1516,5,1,1250,39
1517,1,1,1250,40
1566,5,0,1276,39
1567,1,0,1276,40
1424,3,1,1188,39
1425,4,1,1188,40
1472,3,0,1224,39
1473,4,0,1224,40
1518,2,1,1247,39
1519,4,1,1247,40
1570,2,0,1265,39
1571,4,0,1265,40
1388,3,1,1185,39
1389,4,1,1185,40
1474,3,0,1221,39
1475,4,0,1221,40
1522,3,1,1248,39
1523,2,1,1248,40
1568,3,0,1267,39
1569,3,0,1267,40
1422,3,1,1181,39
1423,4,1,1181,40
1466,1,0,1223,39
1467,4,0,1223,40
1520,2,1,1245,39
1521,3,1,1245,40
1572,2,0,1266,39
1573,3,0,1266,40
1394,3,1,1183,39
1395,4,1,1183,40
1462,3,0,1222,39
1463,4,0,1222,40
1512,4,0,1249,39
1513,3,0,1249,40
1562,3,0,1264,39
1563,3,0,1264,40
1380,3,0,1190,39
1381,4,0,1190,40
1428,2,0,1206,39
1429,4,0,1206,40
1500,3,0,1229,39
1501,2,0,1229,40
1542,4,0,1270,39
1543,2,0,1270,40
1384,3,0,1193,39
1385,4,0,1193,40
1436,4,0,1205,39
1437,3,0,1205,40
1506,2,0,1230,39
1507,2,0,1230,40
1556,4,0,1271,39
1557,3,0,1271,40
1378,4,0,1184,39
1379,4,0,1184,40
1426,5,0,1207,39
1427,2,0,1207,40
1508,4,0,1227,39
1509,2,0,1227,40
1558,5,0,1275,39
1559,1,0,1275,40
1376,3,0,1192,39
1377,3,0,1192,40
1434,3,0,1203,39
1435,2,0,1203,40
1502,4,0,1232,39
1503,2,0,1232,40
1560,4,0,1274,39
1561,2,0,1274,40
1386,1,0,1191,39
1387,4,0,1191,40
1430,2,0,1204,39
1431,4,0,1204,40
1504,2,0,1231,39
1505,4,0,1231,40
1550,2,0,1273,39
1551,2,0,1273,40
1382,1,0,1189,39
1383,5,0,1189,40
1432,1,0,1202,39
1433,5,0,1202,40
1510,3,0,1228,39
1511,2,0,1228,40
1548,3,0,1269,39
1549,4,0,1269,40
1400,3,0,1176,39
1401,2,0,1176,40
1438,3,0,1215,39
1439,1,0,1215,40
1480,5,0,1233,39
1481,1,0,1233,40
1554,5,0,1252,39
1555,1,0,1252,40
1420,3,0,1179,39
1421,3,0,1179,40
1444,3,0,1219,39
1445,3,0,1219,40
1484,2,0,1238,39
1485,4,0,1238,40
1544,2,0,1257,39
1545,4,0,1257,40
1396,4,0,1173,39
1397,2,0,1173,40
1456,5,0,1213,39
1457,1,0,1213,40
1486,5,0,1235,39
1487,1,0,1235,40
1538,5,0,1255,39
1539,1,0,1255,40
1402,3,0,1175,39
1403,3,0,1175,40
1454,3,0,1214,39
1455,3,0,1214,40
1478,4,0,1236,39
1479,2,0,1236,40
1552,3,0,1253,39
1553,3,0,1253,40
1398,5,0,1174,39
1399,4,0,1174,40
1440,3,0,1217,39
1441,4,0,1217,40
1476,4,0,1237,39
1477,4,0,1237,40
1540,1,0,1256,39
1541,1,0,1256,40
1404,2,0,1180,39
1405,2,0,1180,40
1460,2,0,1218,39
1461,2,0,1218,40
1482,2,0,1234,39
1483,2,0,1234,40
1546,4,0,1254,39
1547,3,0,1254,40
1406,3,0,1200,39
1407,4,0,1200,40
1442,3,0,1216,39
1443,4,0,1216,40
1492,2,0,1244,39
1493,4,0,1244,40
1536,3,0,1263,39
1537,5,0,1263,40
1408,2,0,1199,39
1409,4,0,1199,40
1448,3,0,1212,39
1449,4,0,1212,40
1490,3,0,1241,39
1491,2,0,1241,40
1530,3,0,1259,39
1531,2,0,1259,40
1416,4,0,1198,39
1417,2,0,1198,40
1446,1,0,1210,39
1447,2,0,1210,40
1494,3,0,1239,39
1495,2,0,1239,40
1532,3,0,1258,39
1533,4,0,1258,40
1410,2,0,1197,39
1411,4,0,1197,40
1458,2,0,1211,39
1459,4,0,1211,40
1496,2,0,1243,39
1497,4,0,1243,40
1534,3,0,1260,39
1535,4,0,1260,40
1414,3,0,1195,39
1415,5,0,1195,40
1452,2,0,1209,39
1453,5,0,1209,40
1498,2,0,1242,39
1499,3,0,1242,40
1526,1,0,1261,39
1527,5,0,1261,40
1412,3,0,1196,39
