id,measuretype_id,playerround_id
332,144,1365
333,146,1365
380,143,1382
381,144,1382
382,146,1382
426,144,1407
427,145,1407
428,146,1407
466,144,1428
329,143,1366
375,143,1381
376,144,1381
431,144,1406
456,144,1429
457,146,1429
331,146,1368
458,144,1432
459,145,1432
338,143,1363
339,144,1363
370,144,1385
371,145,1385
432,143,1409
433,144,1409
464,145,1430
465,146,1430
327,144,1364
328,146,1364
372,144,1384
373,145,1384
374,146,1384
418,143,1408
419,144,1408
420,145,1408
421,146,1408
460,143,1431
461,144,1431
462,145,1431
463,146,1431
334,143,1367
335,144,1367
336,145,1367
377,143,1386
378,144,1386
379,145,1386
407,143,1410
408,144,1410
409,145,1410
467,143,1433
468,144,1433
337,146,1352
388,146,1392
445,146,1420
498,143,1440
499,144,1440
500,143,1437
501,144,1437
340,143,1356
385,144,1391
386,145,1390
387,146,1390
494,143,1439
495,144,1439
496,145,1439
497,146,1439
344,144,1353
345,146,1353
391,144,1388
392,146,1388
446,143,1417
447,144,1417
448,145,1417
449,146,1417
491,143,1438
492,144,1438
493,146,1438
341,144,1354
342,145,1354
343,146,1354
383,145,1387
384,146,1387
434,144,1418
435,145,1418
436,146,1418
487,143,1435
488,144,1435
489,145,1435
490,146,1435
319,144,1339
482,143,1425
483,144,1425
321,143,1342
322,144,1342
357,144,1370
358,146,1370
414,143,1404
415,144,1404
416,145,1404
417,146,1404
469,143,1424
470,144,1424
471,145,1424
472,146,1424
323,146,1341
361,143,1372
362,146,1372
429,143,1400
430,146,1400
484,143,1427
485,144,1427
486,146,1427
481,144,1434
325,145,1344
326,146,1344
363,143,1371
364,144,1371
365,145,1371
366,146,1371
410,143,1399
411,144,1399
412,145,1399
413,146,1399
477,143,1426
478,144,1426
479,145,1426
480,146,1426
330,146,1340
367,143,1375
368,144,1375
369,146,1375
422,143,1403
423,144,1403
424,145,1403
425,146,1403
473,143,1423
474,144,1423
475,145,1423
476,146,1423
393,143,1394
346,144,1380
347,145,1380
348,146,1380
394,143,1397
395,144,1397
396,145,1397
397,146,1397
450,144,1415
451,146,1415
320,146,1345
356,146,1378
406,146,1398
353,143,1377
354,144,1377
355,145,1377
398,143,1396
399,144,1396
400,145,1396
401,146,1396
437,143,1416
438,144,1416
439,145,1416
440,146,1416
318,144,1349
359,143,1379
360,144,1379
402,143,1393
403,144,1393
404,145,1393
405,146,1393
441,143,1412
442,144,1412
443,145,1412
444,146,1412
324,146,1350
349,143,1374
350,144,1374
351,145,1374
352,146,1374
389,144,1395
390,146,1395
452,143,1414
453,144,1414
454,145,1414
455,146,1414
