id,create_time,round_income,living_costs,paid_debt,mortgage_payment,profit_sold_house,spent_savings_for_buying_house,cost_taxes,cost_house_measures_bought,cost_personal_measures_bought,cost_fluvial_damage,cost_pluvial_damage,spendable_income,satisfaction_move_penalty,satisfaction_house_rating_delta,satisfaction_house_measures,satisfaction_personal_measures,satisfaction_fluvial_penalty,satisfaction_pluvial_penalty,satisfaction_debt_penalty,satisfaction_total,preferred_house_rating,maximum_mortgage,mortgage_house_start,mortgage_left_start,house_price_sold,house_price_bought,mortgage_house_end,mortgage_left_end,movingreason_id,moving_reason_other,pluvial_base_protection,fluvial_base_protection,pluvial_community_delta,fluvial_community_delta,pluvial_house_delta,fluvial_house_delta,player_state,player_id,groupround_id,start_housegroup_id,final_housegroup_id,active_transaction_id
1321,2025-10-07T11:30:49,75000,40000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,5,4,110000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,698,318,,,
1365,2025-10-07T11:30:49,75000,40000,0,10000,0,0,15000,6000,7000,0,0,2000,0,-1,1,2,0,0,0,7,4,110000,0,0,0,100000,100000,90000,,,6,9,0,0,2,1,VIEW_SUMMARY,698,325,,1613,
1382,2025-10-07T11:30:49,75000,40000,0,10000,0,0,15000,0,9500,0,0,2500,0,0,0,3,0,0,0,10,4,110000,100000,90000,0,0,100000,80000,,,6,9,0,0,2,1,VIEW_SUMMARY,698,328,1613,1613,
1407,2025-10-07T11:30:49,75000,40000,0,10000,0,0,15000,0,10750,0,0,1750,0,0,0,3,0,0,0,13,4,110000,100000,80000,0,0,100000,70000,,,6,9,-2,-1,2,1,VIEW_SUMMARY,698,332,1613,1613,
1428,2025-10-07T11:30:49,75000,40000,0,10000,0,0,20000,1000,5000,0,4000,-3250,0,0,0,2,0,1,0,16,4,110000,100000,70000,0,0,100000,60000,,,6,9,-2,-1,1,1,VIEW_SUMMARY,698,336,1613,1613,
1358,2025-10-07T14:20:02,110000,60000,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,5,6,170000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,699,318,,,
1366,2025-10-07T14:20:02,110000,60000,0,17000,0,30000,15000,6000,5000,0,0,7000,0,0,1,1,0,0,0,7,6,170000,0,0,0,200000,170000,153000,,,6,9,0,0,1,0,VIEW_SUMMARY,699,325,,1611,
1381,2025-10-07T14:20:02,110000,60000,0,17000,0,0,15000,8000,15000,0,0,2000,0,0,1,3,0,0,0,11,6,170000,170000,153000,0,0,170000,136000,,,6,9,0,0,2,1,VIEW_SUMMARY,699,328,1611,1611,
1406,2025-10-07T14:20:02,110000,60000,0,17000,0,0,15000,9000,10000,0,0,1000,0,0,1,2,0,0,0,14,6,170000,170000,136000,0,0,170000,119000,,,6,9,-2,-1,3,2,VIEW_SUMMARY,699,332,1611,1611,
1429,2025-10-07T14:20:02,110000,60000,0,17000,0,0,20000,0,14000,0,0,0,0,0,0,2,0,0,0,18,6,170000,170000,119000,0,0,170000,102000,,,6,9,-2,-1,4,3,VIEW_SUMMARY,699,336,1611,1611,
1362,2025-10-07T14:21:17,60000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,80000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,700,318,,,
1368,2025-10-07T14:21:17,60000,30000,0,7000,0,0,20000,1000,1400,8000,0,-7400,0,-1,0,0,3,0,0,1,3,80000,0,0,0,70000,70000,63000,,,6,6,0,0,1,1,VIEW_SUMMARY,700,325,,1623,
1383,2025-10-07T14:21:17,60000,30000,7400,7000,0,0,20000,0,0,0,0,-4400,0,0,0,0,0,0,1,0,3,80000,70000,63000,0,0,70000,56000,,,6,6,0,0,0,0,VIEW_SUMMARY,700,328,1623,1623,
1405,2025-10-07T14:21:17,60000,30000,4400,7000,0,0,20000,0,0,4000,0,-5400,0,0,0,0,2,0,1,-3,3,80000,70000,56000,0,0,70000,49000,,,6,6,-2,-1,0,0,VIEW_SUMMARY,700,332,1623,1623,
1432,2025-10-07T14:21:17,60000,30000,5400,7000,51000,0,20000,10000,6500,0,4000,28100,1,-1,0,3,1,1,1,-5,3,80000,70000,49000,100000,70000,70000,63000,35,,6,6,-2,-1,2,2,VIEW_SUMMARY,700,336,1623,1660,
1360,2025-10-07T14:20:34,90000,50000,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,5,5,130000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,701,318,,,
1363,2025-10-07T14:20:34,90000,50000,0,8000,0,0,20000,14000,6000,0,0,7000,0,-3,2,3,0,0,0,7,5,130000,0,0,0,80000,80000,72000,,,4,9,0,0,2,0,VIEW_SUMMARY,701,325,,1619,
1385,2025-10-07T14:20:34,90000,50000,0,8000,0,0,20000,0,8500,0,0,10500,0,0,0,3,0,0,0,10,5,130000,80000,72000,0,0,80000,64000,,,4,9,0,0,2,0,VIEW_SUMMARY,701,328,1619,1619,
1409,2025-10-07T14:20:34,90000,50000,0,8000,0,0,20000,0,6000,0,0,16500,0,0,0,3,0,0,0,13,5,130000,80000,64000,0,0,80000,56000,,,4,9,-2,-1,2,0,VIEW_SUMMARY,701,332,1619,1619,
1430,2025-10-07T14:20:34,90000,50000,0,8000,0,0,20000,0,6100,0,4000,18400,0,0,0,1,0,1,0,13,5,130000,80000,56000,0,0,80000,48000,,,4,9,-2,-1,3,1,VIEW_SUMMARY,701,336,1619,1619,
1361,2025-10-07T14:20:53,130000,75000,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,5,7,200000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,702,318,,,
1364,2025-10-07T14:20:53,130000,75000,0,12500,0,0,20000,22000,8750,4000,0,37750,0,-3,3,2,2,0,0,5,7,200000,0,0,0,125000,125000,112500,,,6,6,0,0,4,2,VIEW_SUMMARY,702,325,,1622,
1384,2025-10-07T14:20:53,130000,75000,0,12500,0,0,20000,10000,15250,0,0,35000,0,0,0,3,0,0,0,8,7,200000,125000,112500,0,0,125000,100000,,,6,6,0,0,5,3,VIEW_SUMMARY,702,328,1622,1622,
1408,2025-10-07T14:20:53,130000,75000,0,12500,0,0,20000,0,18375,0,0,39125,0,0,0,4,1,0,0,11,7,200000,125000,100000,0,0,125000,87500,,,6,6,-2,-1,5,3,VIEW_SUMMARY,702,332,1622,1622,
1431,2025-10-07T14:20:53,130000,75000,0,12500,0,0,20000,0,18375,0,0,43250,0,0,0,4,1,0,0,14,7,200000,125000,87500,0,0,125000,75000,,,6,6,-2,-1,5,3,VIEW_SUMMARY,702,336,1622,1622,
1359,2025-10-07T14:20:17,190000,115000,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,0,5,8,300000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,703,318,,,
1367,2025-10-07T14:20:17,190000,115000,0,20000,0,0,15000,10000,24500,0,0,85500,0,-2,0,4,0,0,0,7,8,300000,0,0,0,200000,200000,180000,,,6,9,0,0,1,1,VIEW_SUMMARY,703,325,,1612,
