id,code,address,rating,original_price,damage_reduction,market_value,last_sold_price,house_satisfaction,status,fluvial_base_protection,pluvial_base_protection,fluvial_house_protection,pluvial_house_protection,last_round_comm_fluvial,last_round_comm_pluvial,last_round_house_fluvial,last_round_house_pluvial,house_id,group_id,owner_id
799,N01,Stickroad 17,9,425000,0,425000,425000,1,OCCUPIED,10,8,11,9,,,,,218,72,521
800,N04,"Twiglane 8
",6,200000,0,200000,200000,2,OCCUPIED,10,8,10,9,,,,,221,72,520
801,N07,"Leafstreet 26
",3,100000,0,100000,111000,1,OCCUPIED,10,8,10,9,,,,,224,72,516
802,D01,"Stonelane 13
",8,300000,0,300000,,0,NOT_AVAILABLE,10,6,0,0,,3,,3,225,72,
803,D04,"Steelstreet 22
",5,160000,0,160000,160000,2,OCCUPIED,10,6,10,7,,3,,3,228,72,517
804,D05,"Steelstreet 20
",5,160000,0,160000,160000,1,OCCUPIED,10,6,11,6,,3,,3,229,72,522
805,D10,"Brickroad 6
",2,80000,0,80000,,0,NOT_AVAILABLE,10,6,0,0,,3,,3,234,72,
806,U01,"Woolstreet 33
",6,200000,0,198000,,0,NOT_AVAILABLE,7,8,0,0,1,,1,,235,72,
807,U04,"Grassroad 54
",4,125000,0,123000,120000,1,AVAILABLE,7,8,8,8,1,,,,238,72,
808,U10,"Twiglane 48
",2,70000,0,68000,65000,0,AVAILABLE,7,8,8,8,1,,,,244,72,
829,N05,"Twiglane 5


",6,200000,0,200000,,0,NOT_AVAILABLE,10,8,0,0,,,,,222,72,
830,D02,"Stonelane 11

",8,300000,0,300000,,0,NOT_AVAILABLE,10,6,0,0,,3,,3,226,72,
831,D09,"Brickroad 4

",2,80000,0,80000,,0,NOT_AVAILABLE,10,6,0,0,,3,,3,233,72,
832,U05,"Grassroad 52

",4,125000,0,125000,,0,NOT_AVAILABLE,7,8,0,0,,,,,239,72,
833,U09,"Twiglane 44

",2,70000,0,70000,,0,NOT_AVAILABLE,7,8,0,0,,,,,243,72,
856,N06,"Leafstreet 28

",3,100000,0,100000,100000,0,OCCUPIED,10,8,1,0,,,,,223,72,518
857,D03,"Stonelane 15

",8,300000,0,300000,,0,AVAILABLE,10,6,0,0,,3,,3,227,72,
858,D06,"Steelstreet 25

",5,160000,0,160000,,0,AVAILABLE,10,6,0,1,,3,,,230,72,
859,U02,"Woolstreet 37

",6,200000,0,200000,,0,AVAILABLE,7,8,1,1,,,,,236,72,
860,U06,"Grassroad 51

",4,125000,0,125000,,0,AVAILABLE,7,8,1,0,,,,,240,72,
861,U07,Grassroad 53,4,125000,0,125000,125000,0,OCCUPIED,7,8,8,8,,,,,241,72,519
874,N01,Stickroad 17,9,425000,0,425000,,0,NOT_AVAILABLE,10,8,0,0,,2,,2,218,81,
875,N04,"Twiglane 8
",6,200000,0,200000,200000,3,OCCUPIED,10,8,11,8,,2,,2,221,81,593
876,N07,"Leafstreet 26
",3,100000,0,100000,100000,2,OCCUPIED,10,8,11,8,,2,,2,224,81,589
877,D01,"Stonelane 13
",8,300000,0,300000,,0,NOT_AVAILABLE,10,6,0,0,,2,,2,225,81,
878,D04,"Steelstreet 22
",5,160000,0,160000,160000,0,AVAILABLE,10,6,0,0,,2,,2,228,81,
879,D05,"Steelstreet 20
",5,160000,0,160000,160000,1,NOT_AVAILABLE,10,6,11,7,,2,,2,229,81,
880,D10,"Brickroad 6
",2,80000,0,80000,80000,0,OCCUPIED,10,6,11,6,,2,,2,234,81,590
881,U01,"Woolstreet 33
",6,200000,0,200000,200000,1,OCCUPIED,7,8,7,9,,2,,2,235,81,594
882,U04,"Grassroad 54
",4,125000,0,125000,125000,0,NOT_AVAILABLE,7,8,0,0,,2,,2,238,81,
883,U10,"Twiglane 48
",2,70000,0,70000,,0,NOT_AVAILABLE,7,8,0,0,,2,,2,244,81,
924,N05,"Twiglane 5


",6,200000,0,200000,200000,3,OCCUPIED,10,8,10,9,,2,,2,222,81,592
925,D02,"Stonelane 11

",8,300000,0,300000,,0,NOT_AVAILABLE,10,6,0,0,,2,,2,226,81,
926,D09,"Brickroad 4

",2,80000,0,80000,80000,1,OCCUPIED,10,6,11,6,,2,,2,233,81,588
927,U05,"Grassroad 52

",4,125000,0,125000,,0,NOT_AVAILABLE,7,8,0,0,,2,,2,239,81,
928,U09,"Twiglane 44

",2,70000,0,70000,,0,NOT_AVAILABLE,7,8,0,0,,2,,2,243,81,
955,N06,"Leafstreet 28

",3,100000,0,100000,,0,AVAILABLE,10,8,1,0,,,,,223,81,
956,D03,"Stonelane 15

",8,300000,0,300000,,0,AVAILABLE,10,6,0,0,,,,,227,81,
957,D06,"Steelstreet 25

",5,160000,0,160000,,0,AVAILABLE,10,6,0,1,,,,,230,81,
958,U02,"Woolstreet 37

",6,200000,0,200000,,0,AVAILABLE,7,8,1,1,,,,,236,81,
959,U06,"Grassroad 51

",4,125000,0,125000,125000,2,OCCUPIED,7,8,8,9,,,,,240,81,591
960,U07,Grassroad 53,4,125000,0,125000,,0,AVAILABLE,7,8,1,2,,,,,241,81,
779,N01,Stickroad 17,9,425000,0,425000,,0,NOT_AVAILABLE,10,8,0,0,,,,,218,73,
780,N04,"Twiglane 8
",6,200000,0,200000,200000,1,OCCUPIED,10,8,11,9,,,,,221,73,525
781,N07,"Leafstreet 26
",3,100000,0,100000,100000,1,OCCUPIED,10,8,10,9,,,,,224,73,524
782,D01,"Stonelane 13
",8,300000,0,300000,300000,3,OCCUPIED,10,6,11,6,,3,,3,225,73,529
783,D04,"Steelstreet 22
",5,160000,0,160000,160000,1,OCCUPIED,10,6,10,7,,3,,3,228,73,531
784,D05,"Steelstreet 20
",5,160000,0,160000,,0,NOT_AVAILABLE,10,6,0,0,,3,,3,229,73,
785,D10,"Brickroad 6
",2,80000,0,80000,104000,2,AVAILABLE,10,6,10,7,,3,,3,234,73,
786,U01,"Woolstreet 33
",6,200000,0,195000,200000,2,OCCUPIED,7,8,7,9,2,,2,,235,73,530
787,U04,"Grassroad 54
",4,125000,0,120000,125000,1,OCCUPIED,7,8,7,9,2,,2,,238,73,527
788,U10,"Twiglane 48
",2,70000,0,65000,70000,0,OCCUPIED,7,8,8,8,2,,2,,244,73,526
819,N05,"Twiglane 5


",6,200000,0,200000,,0,NOT_AVAILABLE,10,8,0,0,,,,,222,73,
820,D02,"Stonelane 11

",8,300000,0,300000,,0,NOT_AVAILABLE,10,6,0,0,,3,,3,226,73,
