id,code,user_id,group_id,welfaretype_id
516,t1p1,NA,72,118
517,t1p2,NA,72,120
518,t1p3,NA,72,117
519,t1p4,NA,72,119
520,t1p5,NA,72,121
521,t1p6,NA,72,122
522,t1p7,NA,72,120
523,t1p8,NA,72,120
588,t10p1,NA,81,118
589,t10p2,NA,81,120
590,t10p3,NA,81,117
591,t10p4,NA,81,119
592,t10p5,NA,81,121
593,t10p6,NA,81,122
594,t10p7,NA,81,120
595,t10p8,NA,81,120
524,t2p1,NA,73,118
525,t2p2,NA,73,120
526,t2p3,NA,73,117
527,t2p4,NA,73,119
528,t2p5,NA,73,121
529,t2p6,NA,73,122
530,t2p7,NA,73,120
531,t2p8,NA,73,120
532,t3p1,NA,74,118
533,t3p2,NA,74,120
534,t3p3,NA,74,117
535,t3p4,NA,74,119
536,t3p5,NA,74,121
537,t3p6,NA,74,122
538,t3p7,NA,74,120
539,t3p8,NA,74,120
540,t4p1,NA,75,118
541,t4p2,NA,75,120
542,t4p3,NA,75,117
543,t4p4,NA,75,119
544,t4p5,NA,75,121
545,t4p6,NA,75,122
546,t4p7,NA,75,120
547,t4p8,NA,75,120
548,t5p1,NA,76,118
549,t5p2,NA,76,120
550,t5p3,NA,76,117
551,t5p4,NA,76,119
552,t5p5,NA,76,121
552,t5p5,NA,76,121
553,t5p6,NA,76,122
554,t5p7,NA,76,120
555,t5p8,NA,76,120
556,t6p1,NA,77,118
557,t6p2,NA,77,120
558,t6p3,NA,77,117
559,t6p4,NA,77,119
560,t6p5,NA,77,121
561,t6p6,NA,77,122
562,t6p7,NA,77,120
563,t6p8,NA,77,120
564,t7p1,NA,78,118
565,t7p2,NA,78,120
566,t7p3,NA,78,117
567,t7p4,NA,78,119
568,t7p5,NA,78,121
569,t7p6,NA,78,122
570,t7p7,NA,78,120
571,t7p8,NA,78,120
572,t8p1,NA,79,118
573,t8p2,NA,79,120
574,t8p3,NA,79,117
575,t8p4,NA,79,119
576,t8p5,NA,79,121
577,t8p6,NA,79,122
578,t8p7,NA,79,120
579,t8p8,NA,79,120
580,t9p1,NA,80,118
581,t9p2,NA,80,120
582,t9p3,NA,80,117
583,t9p4,NA,80,119
584,t9p5,NA,80,121
585,t9p6,NA,80,122
586,t9p7,NA,80,120
587,t9p8,NA,80,120
