id,bought_in_round,measuretype_id,housegroup_id,used_in_round
767,1,141,1296,-1
821,3,137,1296,-1
870,4,142,1296,-1
824,3,137,1297,-1
825,3,142,1297,-1
771,1,137,1298,-1
795,2,138,1298,-1
823,3,140,1298,-1
873,4,142,1298,-1
874,4,141,1298,-1
869,4,137,1299,-1
770,1,141,1300,-1
796,2,138,1300,-1
797,2,137,1300,-1
822,3,140,1300,-1
794,2,142,1308,-1
798,3,142,1342,-1
799,3,141,1343,-1
836,4,138,1356,-1
837,4,138,1357,-1
838,4,140,1357,-1
871,4,137,1357,-1
872,4,141,1357,-1
839,4,142,1358,-1
840,4,141,1360,-1
841,4,138,1360,-1
842,4,138,1361,-1
843,4,141,1361,-1
844,4,137,1362,-1
845,4,141,1362,-1
846,4,138,1363,-1
847,4,137,1364,-1
848,4,138,1364,-1
849,4,141,1365,-1
774,2,141,1281,-1
757,1,138,1282,-1
758,1,137,1282,-1
759,1,142,1282,-1
760,1,140,1282,-1
761,1,141,1282,-1
762,1,137,1284,-1
763,1,140,1284,-1
775,2,138,1284,-1
776,2,142,1284,-1
777,2,141,1284,-1
773,2,137,1286,-1
802,3,140,1286,-1
782,2,141,1288,-1
792,3,142,1340,-1
793,3,141,1341,-1
807,4,138,1346,-1
808,4,138,1347,-1
809,4,140,1347,-1
864,4,137,1347,-1
865,4,142,1347,-1
866,4,141,1347,-1
810,4,142,1348,-1
811,4,141,1350,-1
812,4,138,1350,-1
813,4,138,1351,-1
814,4,141,1351,-1
815,4,137,1352,-1
816,4,141,1352,-1
817,4,138,1353,-1
818,4,137,1354,-1
819,4,138,1354,-1
820,4,141,1355,-1
765,1,142,1311,-1
766,1,141,1311,-1
805,3,137,1311,-1
769,1,138,1314,-1
783,2,142,1314,-1
784,2,140,1314,-1
803,3,137,1314,-1
804,3,141,1314,-1
764,1,140,1321,-1
781,2,141,1321,-1
768,1,142,1324,-1
806,3,141,1324,-1
800,3,142,1344,-1
801,3,141,1345,-1
850,4,138,1366,-1
875,4,137,1366,-1
876,4,142,1366,-1
877,4,140,1366,-1
878,4,141,1366,-1
851,4,138,1367,-1
852,4,140,1367,-1
879,4,137,1367,-1
880,4,142,1367,-1
881,4,141,1367,-1
853,4,142,1368,-1
854,4,141,1370,-1
855,4,138,1370,-1
856,4,138,1371,-1
857,4,141,1371,-1
858,4,137,1372,-1
859,4,141,1372,-1
860,4,138,1373,-1
861,4,137,1374,-1
862,4,138,1374,-1
863,4,141,1375,-1
778,1,138,1326,-1
779,1,137,1326,-1
780,1,141,1326,-1
827,2,140,1326,-1
883,3,142,1326,-1
785,1,141,1327,-1
828,2,138,1327,-1
829,2,137,1327,-1
830,2,140,1327,-1
882,3,142,1327,-1
791,1,137,1328,-1
831,2,141,1328,-1
905,4,140,1328,-1
772,1,141,1329,-1
786,1,138,1329,-1
787,1,137,1329,-1
788,1,140,1329,-1
826,2,142,1329,-1
789,1,138,1331,-1
790,1,141,1331,-1
832,2,137,1331,-1
833,2,142,1331,-1
834,2,140,1331,-1
835,2,141,1334,-1
884,3,137,1334,-1
867,3,142,1376,-1
868,3,141,1377,-1
885,4,138,1378,-1
899,4,137,1378,-1
900,4,142,1378,-1
901,4,140,1378,-1
902,4,141,1378,-1
886,4,138,1379,-1
887,4,140,1379,-1
903,4,137,1379,-1
904,4,141,1379,-1
888,4,142,1380,-1
889,4,141,1382,-1
890,4,138,1382,-1
891,4,138,1383,-1
892,4,141,1383,-1
893,4,137,1384,-1
894,4,141,1384,-1
895,4,138,1385,-1
896,4,137,1386,-1
897,4,138,1386,-1
898,4,141,1387,-1
962,2,141,1404,-1
1016,3,137,1404,-1
1017,3,142,1404,-1
925,1,137,1406,-1
963,2,140,1406,-1
1020,3,141,1406,-1
929,1,138,1407,-1
930,1,137,1407,-1
931,1,140,1407,-1
932,1,141,1407,-1
1021,3,142,1407,-1
923,1,141,1410,-1
968,2,137,1410,-1
969,2,140,1410,-1
1018,3,138,1410,-1
1019,3,142,1410,-1
924,1,142,1417,-1
981,3,142,1454,-1
982,3,141,1455,-1
1022,4,138,1476,-1
1023,4,138,1477,-1
1024,4,140,1477,-1
1067,4,137,1477,-1
1068,4,141,1477,-1
1025,4,142,1478,-1
1026,4,141,1480,-1
1027,4,138,1480,-1
1028,4,138,1481,-1
1029,4,141,1481,-1
