id,name,round_number,measuretype_id,house_id
239,N02 steel walls,4,138,246
241,N03 Flood wall,3,138,247
248,N03 Rain Barrel,3,140,247
253,N06 sandbags,2,142,250
246,D06 water resist,4,141,257
255,D06 flood wall,3,138,257
240,D07 flood wall,3,138,258
252,D07 water resist,4,141,258
237,D08 Green Garden,2,137,259
249,D08 Waterproof walls,2,141,259
242,U02 flood wall,2,138,263
238,U03 green garden,1,137,264
243,U03 flood wall,3,138,264
254,U06 sandbags,2,142,267
244,U07 flood wall,4,138,268
251,U07 walls floors,3,141,268
250,U08 ground level,2,141,269
