<<<<<<< HEAD
"answer_id","answer","late_answer","answer_option","answer_plus_option","question_id","question_name","question_description","playerround_id","groupround_round_number","player_code","group_name","gamesession_name","welfare_level","round_income","welfare_income_k"
610,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",655,1,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000,"Low (65k)"
702,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",685,2,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000,"Low (65k)"
781,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",719,3,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000,"Low (65k)"
621,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",651,1,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
700,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",681,2,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
771,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",724,3,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
613,4,0,"I will suffer some damage","4 - I will suffer some damage",37,"Question 1.","How do you judge the flooding risk of your house?",653,1,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000,"Very Low (50k)"
705,5,0,"I will get seriously damaged","5 - I will get seriously damaged",37,"Question 1.","How do you judge the flooding risk of your house?",682,2,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000,"Very Low (50k)"
779,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",722,3,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000,"Very Low (50k)"
599,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",654,1,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000,"Low-average (80k)"
689,4,0,"I will suffer some damage","4 - I will suffer some damage",37,"Question 1.","How do you judge the flooding risk of your house?",684,2,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000,"Low-average (80k)"
769,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",723,3,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000,"Low-average (80k)"
