<<<<<<< HEAD
"answer_id","answer","late_answer","answer_option","answer_plus_option","question_id","question_name","question_description","playerround_id","groupround_round_number","player_code","group_name","gamesession_name","welfare_level","round_income"
610,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",655,1,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000
611,4,0,"Somehow confident","4 - Somehow confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",655,1,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000
702,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",685,2,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000
703,3,0,"Inconclusive","3 - Inconclusive",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",685,2,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000
781,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",719,3,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000
782,3,0,"Inconclusive","3 - Inconclusive",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",719,3,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000
621,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",651,1,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05
622,4,0,"Somehow confident","4 - Somehow confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",651,1,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05
700,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",681,2,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05
701,2,0,"Not confident","2 - Not confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",681,2,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05
771,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",724,3,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05
772,3,0,"Inconclusive","3 - Inconclusive",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",724,3,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05
613,4,0,"I will suffer some damage","4 - I will suffer some damage",37,"Question 1.","How do you judge the flooding risk of your house?",653,1,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000
614,2,0,"Not confident","2 - Not confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",653,1,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000
705,5,0,"I will get seriously damaged","5 - I will get seriously damaged",37,"Question 1.","How do you judge the flooding risk of your house?",682,2,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000
706,1,0,"Absolutely not confident","1 - Absolutely not confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",682,2,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000
779,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",722,3,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000
780,3,0,"Inconclusive","3 - Inconclusive",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",722,3,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000
599,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",654,1,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000
600,2,0,"Not confident","2 - Not confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",654,1,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000
689,4,0,"I will suffer some damage","4 - I will suffer some damage",37,"Question 1.","How do you judge the flooding risk of your house?",684,2,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000
690,1,0,"Absolutely not confident","1 - Absolutely not confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",684,2,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000
769,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",723,3,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000
770,2,0,"Not confident","2 - Not confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",723,3,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000
597,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",650,1,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000
598,4,0,"Somehow confident","4 - Somehow confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",650,1,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000
692,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",683,2,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000
693,3,0,"Inconclusive","3 - Inconclusive",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",683,2,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000
775,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",721,3,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000
776,4,0,"Somehow confident","4 - Somehow confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",721,3,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000
618,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",649,1,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000
619,4,0,"Somehow confident","4 - Somehow confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",649,1,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000
687,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",680,2,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000
688,4,0,"Somehow confident","4 - Somehow confident",38,"Question 2.","How confident are you that the public flood measures in your community will protect your house against flooding?",680,2,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000
